V/atom_BCC,Delta_BCC_E,V/atom_A15,Delta_A15_E,V/atom_FCC,Delta_FCC_E
14.1028938906752,0.332343015067365,14.1800643086817,0.486147059605113,14.0546623794212,0.904190693842843
14.4308681672026,0.228572187823869,14.4887459807074,0.365826047673461,14.3922829581994,0.782248677951689
14.7491961414791,0.146278334351997,14.8263665594855,0.276941883021977,14.7250803858521,0.686747628285191
15.0916398713826,0.0854986580213124,15.1446945337621,0.209524062607956,15.048231511254,0.612723552390317
15.4147909967846,0.0412266482421408,15.467845659164,0.160293375142835,15.3713826366559,0.556881294677261
15.7379421221865,0.0167893492067712,15.8054662379421,0.125954665036805,15.7138263665595,0.515936329090378
16.0466237942122,0.00225346124206127,16.1382636655949,0.106486673221546,16.032154340836,0.488187930163961
16.3842443729904,0.00427838749966814,16.475884244373,0.098594244107252,16.3649517684887,0.473678616034652
16.6977491961415,0.0145412027317906,16.8038585209003,0.105567218516649,16.6929260450161,0.475692912758099
17.0353697749196,0.0397066248571658,17.1318327974277,0.119151763173979,17.040192926045,0.487645823921767
17.3536977491961,0.0698094656001703,17.4501607717042,0.140990141107066,17.3633440514469,0.509489516621934
17.6864951768489,0.109845606016317,17.7733118971061,0.177709866865085,17.6961414790997,0.54456697935213
17.9951768488746,0.151508065159045,18.1350482315113,0.217777895883713,18.0144694533762,0.581281390343068
18.3327974276527,0.204772660838139,18.443729903537,0.271010602960325,18.3520900321543,0.624628630650262
18.6655948553055,0.269602189684037,18.7813504823151,0.332539661449337,18.6993569131833,0.681209640987484
